Smells Like Teen Spirit 	 Nirvana	Alt
 Love Will Tear Us Apart 	 Joy Division	Alt
 Radio Free Europe 	 R.E.M.	Alt
 Blue Monday 	 New Order	Alt
 How Soon is Now? 	 The Smiths	Alt
 Teen Age Riot 	 Sonic Youth	Alt
 Once in a Lifetime 	 Talking Heads	Alt
 Blister in the Sun 	 Violent Femmes	Alt
 Jeremy 	 Pearl Jam	Alt
 Black Hole Sun 	 Soundgarden	Alt
 Monkey Gone to Heaven 	 Pixies	Alt
 Under the Bridge 	 Red Hot Chili Peppers	Alt
 Closer 	 Nine Inch Nails	Alt
 Losing My Religion 	 R.E.M.	Alt
 Wonderwall 	 Oasis	Alt
 Just Like Heaven 	 The Cure	Alt
 Cannonball 	 The Breeders	Alt
 Sunday Bloody Sunday 	 U2	Alt
 Loser 	 Beck	Alt
 Creep 	 Radiohead	Alt
 Hallelujah 	 Jeff Buckley	Alt
 Bela Lugosis Dead 	 Bauhaus	Alt
 Come As You Are 	 Nirvana	Alt
 Personal Jesus 	 Depeche Mode	Alt
 Waiting Room 	 Fugazi	Alt
 Here Comes Your Man 	 Pixies	Alt
 Paranoid Android 	 Radiohead	Alt
 There is a Light that Never Goes Out 	 The Smiths	Alt
 Song 2 	 Blur	Alt
1979	 The Smashing Pumpkins	Alt
 Common People 	 Pulp	Alt
 There She Goes 	 The Las	Alt
 Its The End of the World As We Know It (And I Feel Fine) 	 R.E.M.	Alt
 Running Up That Hill (A Deal With God) 	 Kate Bush	Alt
 The Killing Moon 	 Echo and the Bunnymen	Alt
 I Still Havent Found What Im Looking For 	 U2	Alt
 Bitter Sweet Symphony 	 The Verve	Alt
 Touch Me, Im Sick 	 Mudhoney	Alt
 Everlong 	 Foo Fighters	Alt
 Atmosphere 	 Joy Division	Alt
 All Apologies 	 Nirvana	Alt
 Cut Your Hair 	 Pavement	Alt
 Enjoy the Silence 	 Depeche Mode	Alt
 Lovesong 	 The Cure	Alt
 Would? 	 Alice in Chains	Alt
 What I Got 	 Sublime	Alt
 This Charming Man 	 The Smiths	Alt
 Seven Nation Army 	 The White Stripes	Alt
 Alive 	 Pearl Jam 	Alt
 Jesus Christ Pose 	 Soundgarden	Alt
 Radio, Radio 	 Elvis Costello & The Attractions	Alt
 Tonight, Tonight 	 The Smashing Pumpkins 	Alt
 Fake Plastic Trees 	 Radiohead	Alt
 The One I Love 	 R.E.M.	Alt
 Buddy Holly 	 Weezer	Alt
 Live Forever 	 Oasis	Alt
 New Years Day 	 U2 	Alt
 Head Like a Hole 	 Nine Inch Nails	Alt
 Plush 	 Stone Temple Pilots	Alt
 I Wanna Be Adored 	 The Stone Roses	Alt
 Just Like Honey 	 The Jesus and Mary Chain	Alt
 Bastards of Young 	 The Replacements	Alt
 Lithium 	 Nirvana	Alt
 Burning Down the House 	 Talking Heads	Alt
 Dear God 	 XTC	Alt
 Alison 	 Elvis Costello	Alt
 Boys Dont Cry 	 The Cure	Alt
 Beds Are Burning 	 Midnight Oil	Alt
 So Alive 	 Love and Rockets	Alt
 Today 	 The Smashing Pumpkins	Alt
 Freak Scene 	 Dinosaur Jr.	Alt
 Under the Milky Way 	 The Church 	Alt
 Shes Lost Control 	 Joy Division	Alt
 Karma Police 	 Radiohead	Alt
 Give It Away 	 Red Hot Chili Peppers	Alt
 Birdhouse in Your Soul 	 They Might Be Giants	Alt
 Thats Entertainment 	 The Jam	Alt
 Kool Thing 	 Sonic Youth 	Alt
 When I Come Around 	 Green Day	Alt
 Where is My Mind? 	 Pixies	Alt
 Man in the Box 	 Alice in Chains	Alt
 One 	 U2	Alt
 True Faith 	 New Order	Alt
 Epic 	 Faith No More	Alt
 Only Shallow 	 My Bloody Valentine	Alt
 Linger 	 The Cranberries	Alt
 Summer Babe 	 Pavement	Alt
 Academy Fight Song 	 Mission of Burma	Alt
 Celebrated Summer 	 Husker Du	Alt
 Loaded 	 Primal Scream	Alt
 No Rain 	 Blind Melon	Alt
 Shine 	 Collective Soul	Alt
 Float On 	 Modest Mouse	Alt
 Left of the Dial 	 The Replacements	Alt
 I Melt With You 	 Modern English	Alt
 Better Man 	 Pearl Jam	Alt
 Nothing Compares 2 U 	 Sinéad OConnor	Alt
 Song to the Siren 	 This Mortal Coil	Alt
 Hey Jealousy 	 Gin Blossoms	Alt
 Chloe Dancer/Crown of Thorns 	 Mother Love Bone	Alt