Hoochie Coochie Man	Muddy Waters	Blues
Stormy Monday (Call It Stormy Monday)	T-Bone Walker	Blues
Paying the Cost to Be the Boss	B.B. King	Blues
Me And The Devil Blues	Robert Johnson	Blues
Whisky And Wimmen	John Lee Hooker	Blues
Im tore down	Freddie King	Blues
Damn Right Ive Got The Blues	Buddy Guy	Blues
Mustang Sally	Wilson Pickett	Blues
Little Wing	Stevie Ray Vaughan	Blues
Give Me Back My Wig	Hound Dog Taylor	Blues
Tell Mama (Single)	Etta James	Blues
Brick	Albert Collins	Blues
Still Got The Blues	Gary Moore	Blues
Blues Before Sunrise	Eric Clapton	Blues
Got My Mojo Working	Muddy Waters	Blues
Smokestack Lightning	Howlin Wolf	Blues
Statesboro Blues	The Allman Brothers Band	Blues
Dust My Broom	Freddie King	Blues
Shake It Up And Go	B.B. King	Blues
Too Many Cooks (Spoil the Soup)	Mick Jagger	Blues
Red House	Jimi Hendrix	Blues
Angel Eyes	Jeff Healey	Blues
The Sky Is Crying	Stevie Ray Vaughan	Blues
Boom Boom	John Lee Hooker	Blues
Midnight Special	Leadbelly	Blues
Still Rainin	Jonny Lang	Blues
Bad Penny	Rory Gallagher	Blues
If I Cant Be First	Koko Taylor	Blues
Green Onions	Booker T. & The MGs	Blues
Chain of Fools	Aretha Franklin	Blues
Mess Around	Ray Charles	Blues
Shame Shame Shame	Jimmy Reed	Blues
Pride And Joy	Bonnie Raitt	Blues
Stone Crazy	Buddy Guy	Blues
Hideaway	John Mayall & The Bluesbreakers	Blues
Dont Think Twice	Susan Tedeschi	Blues
Fancy Man Blues	The Rolling Stones	Blues
Trouble No More	The Allman Brothers Band	Blues
Trouble In Mind	Big Walter Hornton	Blues
Sweet Home Chicago	The Jimmy Rogers All Stars Feat. Stephen Stills	Blues
Highway 49	 George Thorogood	Blues
Sugar Sweet	Muddy Waters	Blues
Sweet Little Angel	B.B. King	Blues
Were Gonna Make It (Single Version)	Little Milton	Blues
Look At Little Sister	Stevie Ray Vaughan	Blues
A Man Of Many Words	Buddy Guy	Blues
Black Rose	Eric Clapton	Blues
Shine It On	The Allman Brothers Band	Blues
Fannie Mae	Elvin Bishop	Blues
My Heads in Mississippi	ZZ Top	Blues
Big Legs, Tight Skirts	John Lee Hooker	Blues
Born Under A Bad Sign	Albert King	Blues
Bo Diddley	Bo Diddley	Blues
Sacred Ground	John Mooney	Blues
Here In The Dark	Taj Mahal	Blues
Nobody Knows You When Youre Down and Out	Bessie Smith	Blues
I Fell In Love	Susan Tedeschi	Blues
Mannish Boy (Live)	The Rolling Stones	Blues
Ball N Chain	Big Mama Thornton	Blues
Evil	Howlin Wolf	Blues
Jelly, Jelly	The Allman Brothers Band	Blues
Hellhound On My Trail	Robert Johnson	Blues
In The Midnight Hour	Wilson Pickett	Blues
It Hurts Me Too	Eric Clapton	Blues
Corrine, Corrina	Lightnin Hopkins	Blues
Life By The Drop	Stevie Ray Vaughan	Blues
Pinetops Boogie Woogie	Pinetop Perkins	Blues
Black Cat Bone	Albert Collins/Johnny Copeland	Blues
Little Red Rooster	The Rolling Stones	Blues
Where Is The Next One Coming From?	Buddy Guy	Blues
Black	Cashman	Blues
Serves Me Right To Suffer	Jimmy Johnson	Blues
You Dont Exist Any More	Lil Ed & The Blues Imperials	Blues
Voodoo Chile (Slight Return)	Stevie Ray Vaughan	Blues
Think It Over	Dave Hole	Blues
300 Pounds Of Heavenly Joy	Big Twist And The Mellow Fellows	Blues
Boogie Chillen	John Lee Hooker	Blues
Do Right Woman, Do Right Man	Aretha Franklin	Blues
Blues Boys Tune	B.B. King	Blues
Thing Called Love	Bonnie Raitt	Blues
How Many More Years	Howlin Wolf	Blues
Minnie the Moocher	Cab Caloway	Blues
Everybody Needs Somebody To Love	Wilson Pickett	Blues
No Cuttin Loose	James Cotton	Blues
Blue Jean Blues	Jeff Healey	Blues
Shake Your Money Maker	Elmore James	Blues
Cherry Red Wine	Luther Allison	Blues
Blow Wind Blow	Muddy Waters	Blues
Sinners Prayer	Ray Charles	Blues
Crow Jane	Sonny Terry	Blues
Down In The Hole	The Rolling Stones	Blues
Thats Why Im Crying	Koko Taylor	Blues
Born Blind	Sonny Boy Williamson	Blues
Going down	Freddie King	Blues
Laundromat	Rory Gallagher	Blues
Lovin In My Babys Eyes	Taj Mahal	Blues
These Blues Is Killing Me	A.C. Reed	Blues
Boot Hill	Stevie Ray Vaughan	Blues
Stop Breaking Down	The Rolling Stones	Blues
Angel From Montgomery	Susan Tedeschi	Blues
Stormy Monday	The Allman Brothers Band	Blues