Wildwood Flower	 The Carter Family	Country
D-I-V-O-R-C-E	 Tammy Wynette	Country
Cool Water	 Bob Nolan & The Sons Of The Pioneers	Country
What a Difference Youve Made In My Life	 Ronnie Milsap	Country
Is Anybody Goin To San Antone	 Charley Pride	Country
Sweet Dreams	 Patsy Cline	Country
Long Black Veil	 Lefty Frizzell	Country
Linda On My Mind	 Conway Twitty	Country
Phantom 309	 Red Sovine	Country
There Goes My Everything	 Jack Greene	Country
Kaw Liga	 Hank Williams, Sr.	Country
Dont Rock The Jukebox	 Alan Jackson	Country
Cold, Cold Heart	 Hank Williams, Sr	Country
The Year That Clayton Delaney Died	 Tom T. Hall	Country
I Need You	 Sonny James	Country
Uncle Pen	 Bill Monroe	Country
Theres No Getting Over Me	 Ronnie Milsap	Country
Behind Closed Doors	 Charlie Rich	Country
If Tomorrow Never Comes	 Garth Brooks	Country
Friends In Low Places	 Garth Brooks	Country
Silver Wings	 Merle Haggard	Country
You Are My Sunshine	 Jimmie Davis	Country
Sleeping Single in a Double Bed	 Barbara Mandrell	Country
Harper Valley P.T.A.	 Jeannie C. Riley	Country
Luckenbach, Texas	 Waylon Jennings	Country
Shes Got You	 Patsy Cline	Country
Mamas Dont Let Your Babies Grow Up To Be Cowboys	 Willie Nelson & Waylon Jennings	Country
Lead Me On	 Conway Twitty & Loretta Lynn	Country
Jolene	 Dolly Parton	Country
Im Movin On	 Hank Snow	Country
Love in the Hot Afternoon	 Gene Watson	Country
Waltz Across Texas	 Ernest Tubb	Country
Youve Never Been This Far Before	 Conway Twitty	Country
Help Me Make It Through The Night	 Sammi Smith	Country
Heres a Quarter (Call Someone Who Cares)	 Travis Tritt	Country
Crazy Arms	 Ray Price	Country
Sunday Morning Comin Down	 Johnny Cash	Country
God Bless The USA	 Lee Greenwood	Country
Louisiana Woman, Mississippi Man	 Conway Twitty & Loretta Lynn	Country
Pure Love	 Ronnie Milsap	Country
Blue Eyes Crying In The Rain	 Willie Nelson	Country
Rocky Top	 The Osborne Brothers	Country
Okie From Muskogee	 Merle Haggard	Country
I Sang Dixie	 Dwight Yoakam	Country
Good Hearted Woman	 Waylon Jennings	Country
Bouquet of Roses	 Eddy Arnold	Country
Here In The Real World	 Alan Jackson	Country
Hello Walls	 Faron Young	Country
I Think Ill Just Stay Here and Drink	 Merle Haggard	Country
I Will Always Love You	 Dolly Parton	Country
Tumbling Tumbleweeds	 The Sons Of The Pioneers	Country
Anytime	 Eddy Arnold	Country
Only Daddy Thatll Walk The Line	 Waylon Jennings	Country
Dreaming My Dreams With You	 Waylon Jennings	Country
Delta Dawn	 Tanya Tucker	Country
Hello Darlin	 Conway Twitty	Country
Tight Fittin Jeans	 Conway Twitty	Country
Chiseled In Stone	 Vern Gosdin	Country
I Cant Help It (If Im Still In Love With You)	 Hank Williams, Sr.	Country
The Cattle Call	 Eddy Arnold	Country
The Battle of New Orleans	 Johnny Horton	Country
Wabash Cannonball	 Roy Acuff	Country
Suspicious Minds	 Elvis Presley	Country
Hey Good Lookin	 Hank Williams, Sr	Country
Smoky Mountain Rain	 Ronnie Milsap	Country
Faded Love	 Bob Wills And His Texas Playboys	Country
Forever And Ever, Amen	 Randy Travis	Country
Walking The Floor Over You 	 Ernest Tubb	Country
Coat Of Many Colors	 Dolly Parton	Country
Make The World Go Away	 Eddy Arnold	Country
Rainy Day Woman	 Waylon Jennings	Country
It Wasnt God Who Made Honky Tonk Angels	 Kitty Wells	Country
I Cant Stop Loving You	 Don Gibson	Country
Tennessee Waltz	 Patti Page	Country
The Last Thing On My Mind	 Porter Wagoner & Dolly Parton	Country
White Lightning	 George Jones	Country
For The Good Times	 Ray Price	Country
Ring of Fire	 Johnny Cash	Country
Jambalaya	 Hank Williams Sr.	Country
Stand By Your Man	 Tammy Wynette	Country
Tiger by the Tail	 Buck Owens	Country
Oh, Lonesome Me	 Don Gibson	Country
Always On My Mind	 Willie Nelson	Country
Old Dogs, Children, And Watermelon Wine	 Tom T Hall	Country
Coal Miners Daughter	 Loretta Lynn	Country
Mama Tried	 Merle Haggard	Country
I Walk The Line	 Johnny Cash	Country
Workin Man Blues	 Merle Haggard	Country
San Antonio Rose	 Bob Wills And His Texas Playboys	Country
Sixteen Tons	 Tennessee Ernie Ford	Country
The Dance	 Garth Brooks	Country
Hell Have To Go	 Jim Reeves	Country
Lovesick Blues	 Hank Williams, Sr.	Country
Today I Started Loving You Again	 Merle Haggard	Country
Im So Lonesome I Could Cry	 Hank Williams, Sr.	Country
El Paso	 Marty Robbins	Country
I Fall To Pieces	 Patsy Cline	Country
Your Cheatin Heart	 Hank Williams, Sr.	Country
Crazy	 Patsy Cline	Country
He Stopped Loving Her Today	 George Jones	Country