Y.M.C.A.	The Village People	Dance
 Night Fever	Bee Gees	Dance
 Dancing Queen	ABBA	Dance
 Im So Excited	The Pointer Sisters	Dance
 We Are Family	Sister Sledge	Dance
 The Hustle	Van McCoy	Dance
 I Will Survive	Gloria Gaynor	Dance
 Thank You (Falettin Me Be Mice Elf Agin)	Sly & The Family Stone	Dance
 Into The Groove	Madonna	Dance
 Brick House	Commodores	Dance
 The Twist	Chubby Checker	Dance
 Stayin Alive	Bee Gees	Dance
 Respect	Aretha Franklin	Dance
 Get Down Tonight	KC & The Sunshine Band	Dance
 Boogie Oogie Oogie	Taste of Honey	Dance
 You Make Me Feel (Mighty Real)	Sylvester	Dance
 Good Times	Chic	Dance
 Dont Stop ‘Till You Get Enough	Michael Jackson	Dance
 Dancing In The Street	Martha & the Vandellas	Dance
 Billie Jean	Michael Jackson	Dance
 Never Can Say Goodbye	Gloria Gaynor	Dance
 Loves Theme	Love Unlimited Orchestra	Dance
 You Should Be Dancing	The Bee Gees	Dance
 Thats the Way (I Like It)	KC & The Sunshine Band	Dance
 Lady Marmalade	La Belle	Dance
 Rock The Boat	The Hues Corporation	Dance
 You Spin Me ‘Round (Like A Record)	Dead Or Alive	Dance
 Le Freak	Chic	Dance
 Gettin Jiggy Wit It	Will Smith	Dance
 Celebration	Kool & The Gang	Dance
 Let the Music Play	Shannon	Dance
 Hes The Greatest Dancer	Sister Sledge	Dance
 Best Of My Love	The Emotions	Dance
 Shame	Evelyn Champagne King	Dance
 Upside Down	Diana Ross	Dance
 Dance To The Music	Sly & The Family Stone	Dance
 Heart Of Glass	Blondie	Dance
 And The Beat Goes On	The Whispers	Dance
 Love Train	The OJays	Dance
 Aint No Stoppin Us Now	McFadden & Whitehead	Dance
 U Cant Touch This	M.C. Hammer	Dance
 ABC	The Jackson 5	Dance
 Macarena (Bayside Boys Mix)	Los Del Rio	Dance
 More, More, More	Andrea True Connection	Dance
 I Want To Dance With Somebody	Whitney Houston	Dance
 Got To Give It Up	Marvin Gaye	Dance
 Sledgehammer	Peter Gabriel	Dance
 TSOP (The Sound Of Philadelphia)	MSFB & The Three Degrees	Dance
 Last Dance	Donna Summer	Dance
 Bad Girl / Hot Stuff	Donna Summer	Dance
 Keep On Truckin	Eddie Kendricks	Dance
 Cherchez La Femme	Dr Buzzards Original Savanah Band	Dance
 All Night Long (All Night)	Lionel Richie	Dance
 La Bamba	Richie Valens	Dance
 (Shake, Shake, Shake) Shake Your Booty	KC & The Sunshine Band	Dance
 Gonna Make You Sweat	C&C Music Factory	Dance
 Im Your Boogie Man	KC & The Sunshine Band	Dance
 Whatd I Say	Ray Charles	Dance
 Dont Leave Me This Way	Thelma Houston	Dance
 Cant Get Enough Of Your Love, Babe	Barry White	Dance
 If I Cant Have You	Yvonne Elliman	Dance
 Jump (For My Love)	The Pointer Sisters	Dance
 Love To Love You	Donna Summer	Dance
 Funkytown	Lipps Inc	Dance
1999	Prince	Dance
 Do Ya Think Im Sexy	Rod Stewart	Dance
 Tear The Roof Off The Sucker (Give Up The Funk)	Parliament	Dance
 Mustang Sally	Wilson Pickett	Dance
 Shotgun	Junior Walker & The All-Stars	Dance
 Shake Your Groove Thing	Peaches & Herb	Dance
 Flashdance (What A Feeling…)	Irene Cara	Dance
 Get Up (I Feel Like Sex Machine)	James Brown	Dance
 Fly Robin Fly	Silver Convention	Dance
 Take Your Time (Do it Right)	The SOS Band	Dance
 Land of 1,000 Dances	Wilson Pickett	Dance
 Believe	Cher	Dance
 Dance, Dance, Dance (Yowza, Yowza, Yowza)	Chic	Dance
 Straight Up	Paula Abdul	Dance
 Turn The Beat Around	Vicki Sue Robinson	Dance
 Im Every Woman	Chaka Khan	Dance
 I Feel Love	Donna Summer	Dance
 Sexual Healing	Marvin Gaye	Dance
 Bad Girls	Donna Summer	Dance
 Dancing Machine	The Jackson 5	Dance
 December, 1963 (Oh What A Night)	The Four Seasons	Dance
 Disco Inferno	The Trammps	Dance
 Boogie Shoes	KC & The Sunshine Band	Dance
 Get Dancin	Disco Tex & His Sex-O-Lettes	Dance
 I Wanna Be Your Lover	Prince	Dance
 Macho Man	The Village People	Dance