Hallowed Be Thy Name 	 Iron Maiden 	HeavyMetal
War Pigs 	 Black Sabbath 	HeavyMetal
Beyond the Realms of Death 	 Judas Priest 	HeavyMetal
 Iron Man 	 Black Sabbath 	HeavyMetal
Master of Puppets 	 Metallica 	HeavyMetal
Victim of Changes 	 Judas Priest 	HeavyMetal
The Trooper 	 Iron Maiden 	HeavyMetal
Ace of Spades 	 Motorhead 	HeavyMetal
The Number of the Beast 	 Iron Maiden 	HeavyMetal
 N.I.B. 	 Black Sabbath 	HeavyMetal
 Youve Got Another Thing Coming 	 Judas Priest 	HeavyMetal
 Stargazer 	 Rainbow 	HeavyMetal
 Angel of Death 	 Slayer 	HeavyMetal
 Black Sabbath 	 Black Sabbath 	HeavyMetal
 Paranoid 	 Black Sabbath 	HeavyMetal
 Rime of the Ancient Mariner 	 Iron Maiden 	HeavyMetal
 One 	 Metallica 	HeavyMetal
 Crazy Train 	 Ozzy Osbourne 	HeavyMetal
 Raining Blood 	 Slayer 	HeavyMetal
 Fade to Black 	 Metallica 	HeavyMetal
 Am I Evil? 	 Diamond Head 	HeavyMetal
 Painkiller 	 Judas Priest 	HeavyMetal
 Holy Wars... The Punishment Due 	 Megadeth 	HeavyMetal
 Running With the Devil 	 Van Halen 	HeavyMetal
 Cemetary Gates 	 Pantera 	HeavyMetal
 Seek and Destroy 	 Metallica 	HeavyMetal
 Symptom of the Universe 	 Black Sabbath 	HeavyMetal
 Welcome to the Jungle 	 Guns N Roses 	HeavyMetal
 Children of the Grave 	 Black Sabbath 	HeavyMetal
 2 Minutes to Midnight 	 Iron Maiden 	HeavyMetal
 Mr. Crowley 	 Ozzy Osbourne 	HeavyMetal
 Run to the Hills 	 Iron Maiden 	HeavyMetal
 Breaking the Law 	 Judas Priest 	HeavyMetal
 Holy Diver 	 Dio 	HeavyMetal
 Aces High 	 Iron Maiden 	HeavyMetal
 Peace Sells 	 Megadeth 	HeavyMetal
 The Hellion/Electric Eye 	 Judas Priest 	HeavyMetal
 Queen of the Reich 	 Queensryche 	HeavyMetal
 Hangar 18 	 Megadeth 	HeavyMetal
 Caught in a Mosh 	 Anthrax 	HeavyMetal
 Take Hold of the Flame 	 Queensryche 	HeavyMetal
 For Whom the Bell Tolls 	 Metallica 	HeavyMetal
 Souls of Black 	 Testament 	HeavyMetal
 Cowboys From Hell 	 Pantera 	HeavyMetal
 Hell Bent For Leather 	 Judas Priest 	HeavyMetal
 Powerslave 	 Iron Maiden 	HeavyMetal
 Symphony of Destruction 	 Megadeth 	HeavyMetal
 Sabbath Bloody Sabbath 	 Black Sabbath 	HeavyMetal
 Creeping Death 	 Metallica 	HeavyMetal
 Eyes of a Stranger 	 Queensryche 	HeavyMetal
 Heaven and Hell 	 Black Sabbath 	HeavyMetal
 Rock and Roll All Night 	 KISS 	HeavyMetal
 War Ensemble 	 Slayer 	HeavyMetal
 Revolution Calling 	 Queensryche 	HeavyMetal
 Into The Void 	 Black Sabbath 	HeavyMetal
 Tornado of Souls 	 Megadeth 	HeavyMetal
 Detroit Rock City 	 KISS 	HeavyMetal
 Panama 	 Van Halen 	HeavyMetal
 Fear of the Dark 	 Iron Maiden 	HeavyMetal
 The Four Hoursemen 	 Metallica 	HeavyMetal
 Diary of a Madman 	 Ozzy Osbourne 	HeavyMetal
 Fairies Wear Boots 	 Black Sabbath 	HeavyMetal
 Phantom of the Opera 	 Iron Maiden 	HeavyMetal
 Rock You Like A Hurricane 	 Scorpions 	HeavyMetal
 Sweet Leaf 	 Black Sabbath 	HeavyMetal
 Gates of Babylon 	 Rainbow 	HeavyMetal
 Rock of Ages 	 Def Leppard 	HeavyMetal
 Enter Sandman 	 Metallica 	HeavyMetal
 Halloween 	 Helloween 	HeavyMetal
 Flying High Again 	 Ozzy Osbourne 	HeavyMetal
 Indians 	 Anthrax 	HeavyMetal
 Battery 	 Metallica 	HeavyMetal
 Living After Midnight 	 Judas Priest 	HeavyMetal
 I Wanna Rock 	 Twisted Sister 	HeavyMetal
 Jesus Christ Pose 	 Soundgarden 	HeavyMetal
 Welcome Home 	 Metallica 	HeavyMetal
 The Divine Wings of Tragedy 	 Symphony X 	HeavyMetal
 Five Minutes Alone 	 Pantera 	HeavyMetal
 Rainbow in the Dark 	 Dio 	HeavyMetal
 Ivory Gates of Dreams 	 Fates Warning 	HeavyMetal
 Keeper of the Seven Keys 	 Helloween 	HeavyMetal
 Electric Funeral 	 Black Sabbath 	HeavyMetal
 Were Not Gonna Take It 	 Twisted Sister 	HeavyMetal
 Dantes Inferno 	 Iced Earth 	HeavyMetal
 Witching Hour 	 Venom 	HeavyMetal
 Shout at the Devil 	 Motley Crue 	HeavyMetal
 Wicked World 	 Black Sabbath 	HeavyMetal
 At War With the Devil 	 Venom 	HeavyMetal
 Wasted Years 	 Iron Maiden 	HeavyMetal
 We Are Stars 	 Hear N Aid 	HeavyMetal
 Fast as a Shark 	 Accept 	HeavyMetal
 The Last in Line 	 Dio 	HeavyMetal
 I Am A Viking 	 Yngwie J. Malmsteens Rising Force 	HeavyMetal
 Blood of My Enemy 	 Manowar 	HeavyMetal
 Warriors of the World United 	 Manowar 	HeavyMetal
 Kill the King 	 Rainbow 	HeavyMetal
 Metal Health 	 Quiet Riot 	HeavyMetal
 Black Out 	 Scorpions 	HeavyMetal
 A Touch of Evil 	 Judas Priest 	HeavyMetal
Metropolis Part I 	 Dream Theater	HeavyMetal