Happy	The Rolling Stones	Rock
Layla	Derek & The Dominos	Rock
Highway To Hell	AC/DC	Rock
Cant You Hear Me Knocking	The Rolling Stones	Rock
Virtue And Vice	The Black Crowes	Rock
Smells Like Teen Spirit	Nirvana	Rock
Violet	Hole	Rock
Blitzkrieg Bop	The Ramones	Rock
Whipping Post	The Allman Brothers Band	Rock
Paradise City	Guns N Roses	Rock
Interstate Love Song	Stone Temple Pilots	Rock
Black Dog	Led Zeppelin	Rock
Hold On! Im Comin	Eric Clapton with BB King	Rock
Remember (Walking In The Sand)	Aerosmith	Rock
Self-Esteem	The Offspring	Rock
Everything Zen	Bush	Rock
Pour Some Sugar On Me	Def Leppard	Rock
You Give Love a Bad Name	Bon Jovi	Rock
Born to Run	Bruce Springsteen	Rock
Aint Talkin â€˜Bout Love	Van Halen	Rock
Sway	The Rolling Stones	Rock
Whole Lotta Rosie	AC/DC	Rock
Man in the Box	Alice in Chains	Rock
Sympathy For The Devil	The Rolling Stones	Rock
Heart Shaped Box	Nirvana	Rock
Nobodys Fool	Cinderella	Rock
Lonely Is the Night	Billy Squier	Rock
Working Man	Rush	Rock
Spoonman	Soundgarden	Rock
Bringin on the Heartbreak	Def Leppard	Rock
Everybody Wants Some!!	Van Halen	Rock
Dissident	Pearl Jam	Rock
Dream On	Aerosmith	Rock
All Day and All of the Night	The Kinks	Rock
All My Love	Led Zeppelin	Rock
Sweet Child O Mine	Guns N Roses	Rock
Bell Bottom Blues	Derek & The Dominos	Rock
My Brain Is Hanging Upside Down (Bonzo Goes To Bitburg)	The Ramones	Rock
Melissa	The Allman Brothers Band	Rock
Lithium	Nirvana	Rock
Touch Too Much	AC/DC	Rock
I Alone	Live	Rock
Fire Woman	Cult	Rock
Snowblind	Styx	Rock
Somebody Get Me a Doctor	Van Halen	Rock
I Remember You	Skid Row	Rock
Fall to Pieces	Velvet Revolver	Rock
Stay With Me	The Faces	Rock
Wont Get Fooled Again	The Who	Rock
Better Man	Pearl Jam	Rock
Iron Man	Black Sabbath	Rock
Statesboro Blues	The Allman Brothers Band	Rock
Dont Run Wild	The Del Fuegos	Rock
Like A Rolling Stone	Bob Dylan	Rock
Holiday	Green Day	Rock
Louie, Louie	The Kingsmen	Rock
Communication Breakdown	Led Zeppelin	Rock
Flirtin With Disaster	Molly Hatchet	Rock
Slow Ride (Live)	Foghat	Rock
Like A Hurricane	Neil Young	Rock
Under My Wheels	Alice Cooper	Rock
Precious	The Pretenders	Rock
Enter Sandman	Metallica	Rock
Round and Round	Ratt	Rock
By The Way	Red Hot Chili Peppers	Rock
Somebody to Shove	Soul Asylum	Rock
Lay It on the Line	Triumph	Rock
May I Have A Talk With You	Stevie Ray Vaughan	Rock
Downbound Train	Bruce Springsteen	Rock
Bitter Tears	INXS	Rock
Comfortably Numb	Pink Floyd	Rock
Volcano Girls	Veruca Salt	Rock
Rooster	Alice in Chains	Rock
Blind Man	Aerosmith	Rock
Please Be With Me	Eric Clapton	Rock
Expresso Love	Dire Straits	Rock
How You Remind Me	Nickelback	Rock
Low Budget	The Kinks	Rock
Red Hill Mining Town	U2	Rock
Must of Got Lost	The J. Geils Band	Rock
Somebody Knockin	Izzy Stradlin 	Rock
Dirty Water (Red Sox Post Game)	Dropkick Murphys	Rock
Suffragette City	David Bowie	Rock
Possum Kingdom	The Toadies	Rock
You Got Another Thing Coming	Judas Priest	Rock
Teenage Lobotomy	The Ramones	Rock
Rebel Yell	Billy Idol	Rock
Whats Your Name	Lynyrd Skynyrd	Rock
Cumbersome	Seven Mary Three	Rock
One Last Kiss	J. Geils Band	Rock
Are You Gonna Be My Girl	Jet	Rock
Rachael (LP Version)	Buffalo Tom	Rock
Katmandu	Bob Seger	Rock
Addicted to Love	Robert Palmer	Rock
Lawyers, Guns And Money	Warren Zevon	Rock
Mustang Sally	Wilson Pickett	Rock
Whats The Frequency, Kenneth?	REM	Rock
Who Do You Want to Be	Oingo Boingo	Rock
Radar Love	Golden Earring	Rock
(I Know) Im Losing You	Rod Stewart	Rock
While My Guitar Gently Weeps	The Beatles	Rock